datetime,subject,raw,eid,pid,process_name,pipe_name
2022-08-05 22:00:05+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:00:05.241247300Z""/>
    <EventRecordID>136096</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:00:05.116</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-92E5-62ED-0000-001009569E01}</Data>
    <Data Name=""ProcessId"">4860</Data>
    <Data Name=""PipeName"">\MSSE-9609-server</Data>
    <Data Name=""Image"">\\127.0.0.1\ADMIN$\27f96ba.exe</Data>
  </EventData>
</Event>
",17,4860,\\127.0.0.1\ADMIN$\27f96ba.exe,\MSSE-9609-server
2022-08-05 22:00:06+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>18</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>18</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:00:06.152225500Z""/>
    <EventRecordID>136099</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:00:06.152</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-92E5-62ED-0000-001009569E01}</Data>
    <Data Name=""ProcessId"">4860</Data>
    <Data Name=""PipeName"">\MSSE-9609-server</Data>
    <Data Name=""Image"">\\127.0.0.1\ADMIN$\27f96ba.exe</Data>
  </EventData>
</Event>
",18,4860,\\127.0.0.1\ADMIN$\27f96ba.exe,\MSSE-9609-server
2022-08-05 22:01:56+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:01:56.298089000Z""/>
    <EventRecordID>136746</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:01:56.298</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-9354-62ED-0000-0010139DA301}</Data>
    <Data Name=""ProcessId"">7012</Data>
    <Data Name=""PipeName"">\postex_d71e</Data>
    <Data Name=""Image"">C:\Windows\system32\rundll32.exe</Data>
  </EventData>
</Event>
",17,7012,C:\Windows\system32\rundll32.exe,\postex_d71e
2022-08-05 22:01:56+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>18</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>18</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:01:56.767671400Z""/>
    <EventRecordID>136747</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:01:56.767</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-92E6-62ED-0000-0010DA999E01}</Data>
    <Data Name=""ProcessId"">1604</Data>
    <Data Name=""PipeName"">\postex_d71e</Data>
    <Data Name=""Image"">C:\Windows\SysWOW64\rundll32.exe</Data>
  </EventData>
</Event>
",18,1604,C:\Windows\SysWOW64\rundll32.exe,\postex_d71e
2022-08-05 22:05:57+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:05:57.507876900Z""/>
    <EventRecordID>137711</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:05:57.492</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-9445-62ED-0000-00104856AB01}</Data>
    <Data Name=""ProcessId"">2812</Data>
    <Data Name=""PipeName"">\postex_72a1</Data>
    <Data Name=""Image"">C:\Windows\system32\rundll32.exe</Data>
  </EventData>
</Event>
",17,2812,C:\Windows\system32\rundll32.exe,\postex_72a1
2022-08-05 22:05:58+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>18</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>18</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:05:58.007238000Z""/>
    <EventRecordID>137712</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:05:58.007</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-92E6-62ED-0000-0010DA999E01}</Data>
    <Data Name=""ProcessId"">1604</Data>
    <Data Name=""PipeName"">\postex_72a1</Data>
    <Data Name=""Image"">C:\Windows\SysWOW64\rundll32.exe</Data>
  </EventData>
</Event>
",18,1604,C:\Windows\SysWOW64\rundll32.exe,\postex_72a1
2022-08-05 22:13:08+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:13:08.989376400Z""/>
    <EventRecordID>139107</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:13:08.958</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-95F3-62ED-0000-0010DF86B401}</Data>
    <Data Name=""ProcessId"">4448</Data>
    <Data Name=""PipeName"">\PSHost.133042111871573887.4448.DefaultAppDomain.powershell</Data>
    <Data Name=""Image"">C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe</Data>
  </EventData>
</Event>
",17,4448,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,\PSHost.133042111871573887.4448.DefaultAppDomain.powershell
2022-08-05 22:13:54+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:13:54.414088600Z""/>
    <EventRecordID>139174</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:13:54.414</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-9622-62ED-0000-0010C3C4BC01}</Data>
    <Data Name=""ProcessId"">4516</Data>
    <Data Name=""PipeName"">\PSHost.133042112341473374.4516.DefaultAppDomain.powershell</Data>
    <Data Name=""Image"">C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe</Data>
  </EventData>
</Event>
",17,4516,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,\PSHost.133042112341473374.4516.DefaultAppDomain.powershell
2022-08-05 22:16:29+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:16:29.826363900Z""/>
    <EventRecordID>140153</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:16:29.826</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-92E6-62ED-0000-0010DA999E01}</Data>
    <Data Name=""ProcessId"">1604</Data>
    <Data Name=""PipeName"">\d99345</Data>
    <Data Name=""Image"">C:\Windows\SysWOW64\rundll32.exe</Data>
  </EventData>
</Event>
",17,1604,C:\Windows\SysWOW64\rundll32.exe,\d99345
2022-08-05 22:16:29+00:00,ACC-10,"<Event xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <System>
    <Provider Name=""Microsoft-Windows-Sysmon"" Guid=""{5770385F-C22A-43E0-BF4C-06F5698FFBD9}""/>
    <EventID>17</EventID>
    <Version>1</Version>
    <Level>4</Level>
    <Task>17</Task>
    <Opcode>0</Opcode>
    <Keywords>0x8000000000000000</Keywords>
    <TimeCreated SystemTime=""2022-08-05T22:16:29.954445900Z""/>
    <EventRecordID>140156</EventRecordID>
    <Correlation/>
    <Execution ProcessID=""1428"" ThreadID=""1916""/>
    <Channel>Microsoft-Windows-Sysmon/Operational</Channel>
    <Computer>ACC-10.corp.net</Computer>
    <Security UserID=""S-1-5-18""/>
  </System>
  <EventData>
    <Data Name=""RuleName""/>
    <Data Name=""UtcTime"">2022-08-05 22:16:29.950</Data>
    <Data Name=""ProcessGuid"">{140A6FA9-96BD-62ED-0000-0010C5E8C401}</Data>
    <Data Name=""ProcessId"">596</Data>
    <Data Name=""PipeName"">\postex_12ab</Data>
    <Data Name=""Image"">C:\Windows\system32\rundll32.exe</Data>
  </EventData>
</Event>
",17,596,C:\Windows\system32\rundll32.exe,\postex_12ab
